nombre,region,lat,lon,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic,anual
Arica,XV,-18.475,-70.311,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
Iquique,I,-20.213,-70.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antofagasta,II,-23.65,-70.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Copiapó,III,-27.367,-70.333,0.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,8.0
La Serena,IV,-29.907,-71.252,0.0,0.0,1.0,2.0,10.0,24.0,27.0,15.0,5.0,3.0,1.0,0.0,88.0
Vicuña,IV,-30.405,-70.586,3.0,4.0,3.0,4.0,16.0,34.0,27.0,20.0,10.0,6.0,4.0,1.0,132.0
La Ligua,V,-32.45,-71.233,1.0,1.0,1.0,10.0,43.0,78.0,73.0,46.0,22.0,10.0,6.0,1.0,292.0
San Felipe,V,-32.775,-70.74,2.0,4.0,3.0,13.0,62.0,86.0,71.0,62.0,21.0,12.0,5.0,3.0,344.0
Valparaíso,V,-33.047,-71.62,1.0,1.0,3.0,16.0,61.0,103.0,108.0,66.0,26.0,14.0,8.0,2.0,409.0
Curacaví,RM,-33.4,-71.133,2.0,3.0,3.0,15.0,69.0,114.0,99.0,68.0,28.0,15.0,6.0,3.0,425.0
Santiago,RM,-33.45,-70.667,1.0,2.0,4.0,15.0,57.0,85.0,83.0,51.0,27.0,14.0,7.0,3.0,349.0
Puente Alto,RM,-33.589,-70.581,3.0,6.0,7.0,24.0,91.0,109.0,98.0,88.0,36.0,25.0,11.0,5.0,503.0
San Antonio,V,-33.75,-71.567,1.0,1.0,4.0,22.0,69.0,106.0,109.0,48.0,28.0,20.0,12.0,4.0,424.0
Rancagua,VI,-34.17,-70.74,2.0,3.0,5.0,29.0,116.0,162.0,176.0,74.0,46.0,31.0,24.0,10.0,678.0
San Fernando,VI,-34.417,-71.233,2.0,3.0,6.0,27.0,104.0,156.0,132.0,75.0,40.0,25.0,18.0,6.0,594.0
Lolol,VI,-34.73,-71.21,5.0,6.0,10.0,32.0,137.0,209.0,148.0,113.0,55.0,32.0,16.0,8.0,771.0
Talca,VII,-35.427,-71.655,5.0,6.0,10.0,49.0,157.0,216.0,184.0,98.0,66.0,41.0,24.0,12.0,868.0
Linares,VII,-35.85,-71.6,15.0,12.0,23.0,60.0,200.0,222.0,192.0,132.0,83.0,57.0,32.0,18.0,1046.0
Chillán,XVI,-36.23,-71.79,16.0,14.0,22.0,61.0,211.0,231.0,227.0,139.0,96.0,69.0,38.0,24.0,1148.0
Los Ángeles,VIII,-36.617,-72.1,18.0,16.0,25.0,59.0,198.0,220.0,214.0,143.0,92.0,64.0,37.0,27.0,1113.0
Concepción,VIII,-36.827,-73.05,17.0,14.0,24.0,66.0,189.0,228.0,196.0,133.0,90.0,58.0,34.0,23.0,1072.0
Temuco,IX,-37.467,-72.35,23.0,23.0,36.0,73.0,222.0,234.0,213.0,163.0,93.0,60.0,40.0,25.0,1205.0
Valdivia,XIV,-38.74,-72.59,39.0,38.0,52.0,97.0,206.0,228.0,198.0,155.0,112.0,84.0,67.0,57.0,1333.0
Osorno,X,-39.817,-73.233,59.0,62.0,107.0,173.0,316.0,364.0,330.0,303.0,173.0,113.0,99.0,89.0,2188.0
Puerto Montt,X,-41.467,-72.933,89.0,89.0,115.0,157.0,242.0,247.0,228.0,190.0,147.0,115.0,108.0,110.0,1837.0
Chaitén,X,-43.117,-72.667,101.0,106.0,133.0,192.0,280.0,282.0,293.0,246.0,174.0,122.0,132.0,141.0,2202.0
Coyhaique,XI,-45.4,-72.117,55.0,54.0,72.0,101.0,146.0,141.0,135.0,116.0,84.0,56.0,61.0,72.0,1093.0
Punta Arenas,XII,-53.15,-70.917,41.0,41.0,52.0,50.0,50.0,50.0,44.0,40.0,38.0,34.0,37.0,47.0,524.0
Ovalle,IV,-30.6,-71.2,0.0,0.0,0.0,2.0,13.0,28.0,42.0,20.0,9.0,4.0,2.0,0.0,120.0
Illapel,IV,-31.633,-71.217,0.0,0.0,0.0,4.0,22.0,46.0,61.0,35.0,17.0,8.0,5.0,0.0,198.0
Curicó,VII,-34.983,-71.233,4.0,4.0,12.0,34.0,145.0,208.0,155.0,106.0,61.0,35.0,14.0,8.0,786.0
Angol,IX,-37.8,-72.667,24.0,25.0,43.0,80.0,207.0,254.0,227.0,179.0,104.0,66.0,47.0,32.0,1288.0
Río Negro,X,-40.583,-73.117,47.0,47.0,70.0,113.0,194.0,216.0,182.0,149.0,103.0,74.0,60.0,60.0,1315.0
